ID,Treatment,Weight_pre,SVL_Pre,Auto_SVL,Auto_Weight,Weight_8,SVL_8,%WL.Start,%WL.Finish
F0502,Autotomy,2.1,39,40.5,2.1,1.71,40.99,0,18.57142857
F1251/3,Control,2,42.4,43.7,2.3,1.98,44.35,-15,1
F1000,Autotomy,2,41,44.5,2,2.12,45.16,0,-6
F1100,Control,2.2,43.8,43.4,2.3,NA,NA,-4.545454545,NA
F0300,Autotomy,2.4,45.3,43.8,2,1.9,42.63,16.66666667,20.83333333
F2/5131,Control,2.3,44.8,48.8,2.5,2.6,49.38,-8.695652174,-13.04347826
F1/2/5105,Autotomy,2.2,44.8,45.4,2.2,2.2,45.58,0,0
F0151/3,Autotomy,1.9,42.2,44.7,2.2,1.8,45.41,-15.78947368,5.263157895
F11/21/23,Control,2.1,41.9,44.7,2.4,2.36,46.63,-14.28571429,-12.38095238
F3453,Autotomy,1.4,40.4,42.4,1.9,1.83,45.45,-35.71428571,-30.71428571
F3130,Control,2.4,43.8,42.8,2.4,2.16,44.47,0,10
F2332/3,Control,1.8,42.4,43.9,2.1,2.3,48.52,-16.66666667,-27.77777778
F1/201/21/2/3,Autotomy,2.1,47,44.1,2,1.9,40.04,4.761904762,9.523809524
F0221/3,Control,1.9,46.2,46.7,1.9,1.8,44.5,0,5.263157895
F4100,Autotomy,2.1,45.9,44.1,2.1,1.6,44.73,0,23.80952381
F0020,Autotomy,1.7,41.9,40.6,2,NA,NA,-17.64705882,NA
F0050,Control,2.2,42.5,39.9,1.9,2,43.44,13.63636364,9.090909091
F5301,Autotomy,1.7,41.1,40.1,1.9,1.8,42.12,-11.76470588,-5.882352941
F0010,Control,2,42,43.4,2.1,NA,NA,-5,NA
F1500,Control,1.8,42.5,42.3,2,2.2,41.25,-11.11111111,-22.22222222
F0002,Autotomy,2.5,43.8,44.5,2.2,2.3,45.77,12,8
F2005,Control,2.2,43.6,43.9,2.2,2.3,41.92,0,-4.545454545
F3131,Autotomy,2,43.7,43.6,2,1.8,43.7,0,10
F1151/3,Autotomy,2,40.1,41.4,2.2,2.2,29.41,-10,-10
F0005,Control,2.2,40.5,39,2.4,1.95,38.97,-9.090909091,11.36363636
F0001/3,Autotomy,2.2,38.5,41.5,2.4,1.91,40.07,-9.090909091,13.18181818
F1/3103,Control,2,43.8,43.7,2.2,2.04,43.52,-10,-2
F3030,Autotomy,1.8,43.4,41.4,1.9,1.8,39.8,-5.555555556,0
F2/5130,Control,2.2,44.3,44.9,2.5,2,47.2,-13.63636364,9.090909091
