ID,Treatment,Week,Mass,Loss
F0010,Control,8,NA,NA
F0020,Autotomy,8,NA,NA
F1100,Control,8,NA,NA
F3130,Control,4,1.8,25
F4100,Autotomy,8,1.6,23.80952381
F0300,Autotomy,4,1.9,20.83333333
F0300,Autotomy,8,1.9,20.83333333
F11/21/23,Control,4,1.7,19.04761905
F0502,Autotomy,8,1.71,18.57142857
F0300,Autotomy,0,2,16.66666667
F3131,Autotomy,4,1.7,15
F0502,Autotomy,4,1.8,14.28571429
F0050,Control,0,1.9,13.63636364
F0001/3,Autotomy,4,1.9,13.63636364
F0001/3,Autotomy,8,1.91,13.18181818
F0002,Autotomy,0,2.2,12
F0002,Autotomy,4,2.2,12
F0005,Control,8,1.95,11.36363636
F1/3103,Control,4,1.8,10
F3130,Control,8,2.16,10
F3131,Autotomy,8,1.8,10
F1/201/21/2/3,Autotomy,4,1.9,9.523809524
F1/201/21/2/3,Autotomy,8,1.9,9.523809524
F0005,Control,4,2,9.090909091
F0050,Control,4,2,9.090909091
F1/2/5105,Autotomy,4,2,9.090909091
F0050,Control,8,2,9.090909091
F2/5130,Control,8,2,9.090909091
F0002,Autotomy,8,2.3,8
F5301,Autotomy,4,1.6,5.882352941
F0151/3,Autotomy,8,1.8,5.263157895
F0221/3,Control,8,1.8,5.263157895
F0010,Control,4,1.9,5
F1151/3,Autotomy,4,1.9,5
F1/201/21/2/3,Autotomy,0,2,4.761904762
F2005,Control,4,2.1,4.545454545
F1251/3,Control,8,1.98,1
F0221/3,Control,0,1.9,0
F0502,Autotomy,0,2.1,0
F1/2/5105,Autotomy,0,2.2,0
F1000,Autotomy,0,2,0
F2005,Control,0,2.2,0
F3130,Control,0,2.4,0
F3131,Autotomy,0,2,0
F4100,Autotomy,0,2.1,0
F0020,Autotomy,4,1.7,0
F0221/3,Control,4,1.9,0
F1000,Autotomy,4,2,0
F1100,Control,4,2.2,0
F2/5130,Control,4,2.2,0
F2/5131,Control,4,2.3,0
F4100,Autotomy,4,2.1,0
F1/2/5105,Autotomy,8,2.2,0
F3030,Autotomy,8,1.8,0
F1/3103,Control,8,2.04,-2
F1100,Control,0,2.3,-4.545454545
F2005,Control,8,2.3,-4.545454545
F0010,Control,0,2.1,-5
F3030,Autotomy,0,1.9,-5.555555556
F1500,Control,4,1.9,-5.555555556
F2332/3,Control,4,1.9,-5.555555556
F3030,Autotomy,4,1.9,-5.555555556
F5301,Autotomy,8,1.8,-5.882352941
F1000,Autotomy,8,2.12,-6
F2/5131,Control,0,2.5,-8.695652174
F0001/3,Autotomy,0,2.4,-9.090909091
F0005,Control,0,2.4,-9.090909091
F1/3103,Control,0,2.2,-10
F1151/3,Autotomy,0,2.2,-10
F1251/3,Control,4,2.2,-10
F1151/3,Autotomy,8,2.2,-10
F1500,Control,0,2,-11.11111111
F5301,Autotomy,0,1.9,-11.76470588
F11/21/23,Control,8,2.36,-12.38095238
F2/5131,Control,8,2.6,-13.04347826
F2/5130,Control,0,2.5,-13.63636364
F11/21/23,Control,0,2.4,-14.28571429
F1251/3,Control,0,2.3,-15
F0151/3,Autotomy,0,2.2,-15.78947368
F0151/3,Autotomy,4,2.2,-15.78947368
F2332/3,Control,0,2.1,-16.66666667
F0020,Autotomy,0,2,-17.64705882
F1500,Control,8,2.2,-22.22222222
F2332/3,Control,8,2.3,-27.77777778
F3453,Autotomy,8,1.83,-30.71428571
F3453,Autotomy,0,1.9,-35.71428571
F3453,Autotomy,4,2.5,-78.57142857
